
Flour, all-purpose | 3.64 | -1 | 28 | 9.3 | 3.64 | 455
Sugar, granulated | 3.87 | -1 | 49 | 16 | 3.87 | 774
Brown sugar | 3.8 | -1 | 52 | 17 | 3.8 | 836
Butter | 7.17 | -1 | 102 | 34 | 7.17 | 1628
Olive oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Canola oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Coconut oil | 8.62 | -1 | 117 | 39 | 8.62 | 1810
Egg | 1.55 | 72 | -1 | -1 | -1 | -1
Milk, whole | 0.61 | -1 | 9.15 | 3.05 | 0.61 | 150
Milk, skim | 0.34 | -1 | 5.1 | 1.7 | 0.34 | 83
Heavy cream | 3.45 | -1 | 51.75 | 17.25 | 3.45 | 820
Baking soda | 0 | -1 | 0 | 0 | 0 | 0
Baking powder | 0.53 | -1 | 8 | 2.7 | 0.53 | 128
Salt | 0 | -1 | 0 | 0 | 0 | 0
Yeast (dry) | 3.25 | -1 | 30 | 10 | 3.25 | 520
Honey | 3.04 | -1 | 64 | 21 | 3.04 | 1030
Maple syrup | 2.6 | -1 | 52 | 17 | 2.6 | 835
Corn syrup | 2.86 | -1 | 57 | 19 | 2.86 | 960
Vanilla extract | 2.88 | -1 | 37 | 12 | 2.88 | 576
Cocoa powder (unsweetened) | 2.28 | -1 | 12 | 4 | 2.28 | 196
Chocolate chips | 4.8 | -1 | 70 | 23 | 4.8 | 800
Peanut butter | 5.9 | -1 | 94 | 31 | 5.9 | 1500
Almonds | 5.76 | 7 | -1 | -1 | -1 | -1
Walnuts | 6.54 | 13 | -1 | -1 | -1 | -1
Raisins | 2.99 | -1 | 85 | 28 | 2.99 | 494
Banana | 0.89 | 105 | -1 | -1 | -1 | -1
Apple | 0.52 | 95 | -1 | -1 | -1 | -1
Carrot | 0.41 | 25 | -1 | -1 | -1 | -1
Potato | 0.77 | 130 | -1 | -1 | -1 | -1
Onion | 0.4 | 45 | -1 | -1 | -1 | -1
Garlic | 1.49 | 5 | -1 | -1 | -1 | -1
Tomato | 0.18 | 22 | -1 | -1 | -1 | -1
Cheddar cheese | 4.03 | 113 | 69 | 23 | 4.03 | 916
Parmesan | 4.31 | 111 | 66 | 22 | 4.31 | 1080
Mozzarella | 2.8 | 85 | 45 | 15 | 2.8 | 672
Cream cheese | 3.5 | 100 | 51 | 17 | 3.5 | 800
Yogurt, plain whole | 0.61 | -1 | 9.15 | 3.05 | 0.61 | 150
Tomato paste | 0.82 | -1 | 13 | 4.3 | 0.82 | 197
Ketchup | 1.12 | -1 | 20 | 6.7 | 1.12 | 240
Mayonnaise | 6.8 | -1 | 94 | 31 | 6.8 | 1530
Mustard | 0.66 | -1 | 10 | 3.3 | 0.66 | 158
Soy sauce | 0.53 | -1 | 8 | 2.7 | 0.53 | 127
Vinegar, white | 0 | -1 | 0 | 0 | 0 | 0
Rice (white, cooked) | 1.3 | -1 | 19.5 | 6.5 | 1.3 | 205
Pasta (cooked) | 1.57 | -1 | 23.6 | 7.9 | 1.57 | 221
Oats (dry) | 3.89 | -1 | 58 | 19 | 3.89 | 654
Cornstarch | 3.81 | -1 | 30 | 10 | 3.81 | 488
Breadcrumbs | 3.52 | -1 | 53 | 18 | 3.52 | 790
Spinach (raw) | 0.23 | -1 | 3.4 | 1.1 | 0.23 | 7
Lettuce | 0.15 | -1 | 2.2 | 0.7 | 0.15 | 5
Kale | 0.49 | -1 | 7.4 | 2.5 | 0.49 | 33
Zucchini | 0.17 | -1 | 2.6 | 0.9 | 0.17 | 27
Cucumber | 0.16 | -1 | 2.4 | 0.8 | 0.16 | 16
Broccoli | 0.34 | -1 | 5.1 | 1.7 | 0.34 | 31
Cauliflower | 0.25 | -1 | 3.75 | 1.25 | 0.25 | 25
Bell pepper (red) | 0.31 | -1 | 4.7 | 1.6 | 0.31 | 29
Celery | 0.16 | -1 | 2.4 | 0.8 | 0.16 | 14
Mushrooms | 0.22 | -1 | 3.3 | 1.1 | 0.22 | 15
Green beans | 0.31 | -1 | 4.7 | 1.6 | 0.31 | 34
Peas (cooked) | 0.81 | -1 | 12.2 | 4.1 | 0.81 | 134
