cheese|3.6|3.6|403|25.2|8.4|82|10.5|110|1600
almond|4.3|4.3|499|31.2|10.4|-1|-1|135|2150
apple|0.2|0.2|94|5.9|2|-1|-1|5|80
milk|0.4|0.4|120|7.5|2.5|-1|-1|10|160
bread|1.3|1.3|130|8.1|2.7|0|-1|35|560
egg|1.6|1.6|155|9.7|3.2|186|-1|40|640
olive oil|9.0|9.0|884|55.3|18.4|-1|-1|251|4000
sugar|3.9|3.9|387|24.2|8.1|-1|-1|110|1750
chicken|1.7|1.7|165|10.3|3.4|43|-1|47|750
butter|7.2|7.2|717|44.8|14.9|-1|-1|204|3240
cheese|3.6|3.6|403|25.2|8.4|82|10.5|110|1600
almond|4.3|4.3|499|31.2|10.4|-1|-1|135|2150
apple|0.2|0.2|94|5.9|2|-1|-1|5|80
milk|0.4|0.4|120|7.5|2.5|-1|-1|10|160
bread|1.3|1.3|130|8.1|2.7|0|-1|35|560
egg|1.6|1.6|155|9.7|3.2|186|-1|40|640
olive oil|9.0|9.0|884|55.3|18.4|-1|-1|251|4000
sugar|3.9|3.9|387|24.2|8.1|-1|-1|110|1750
chicken|1.7|1.7|165|10.3|3.4|43|-1|47|750
butter|7.2|7.2|717|44.8|14.9|-1|-1|204|3240
lamb|2.5|-1|400|25|8|-1|-1|71|1134
fish (general, cooked)|1.5|-1|240|15|5|-1|-1|43|680
shrimp (cooked)|1|-1|100|6|2|-1|-1|28|454
salmon (cooked)|2.1|-1|330|21|7|-1|-1|60|960
yogurt (plain, low-fat)|0.6|0.6|150|9|3|-1|-1|17|272
cream (heavy)|3.5|3.5|820|51|17|-1|-1|99|1584
flour (all-purpose)|3.6|-1|455|28|9|-1|-1|102|1633
salt|0|-1|0|-1|-1|-1|-1|-1|-1
pepper (black)|2.5|-1|300|19|6|-1|-1|7|112
vegetable oil|9|9|1930|120|40|-1|-1|244|3900
canola oil|9|9|1930|120|40|-1|-1|244|3900
rice (white, cooked)|1.3|-1|205|13|4|-1|-1|37|589
pasta (cooked)|1.3|-1|220|14|4|-1|-1|37|589
lettuce (romaine)|0.14|-1|8|0.5|0.2|-1|-1|4|64
spinach (raw)|0.23|-1|7|0.4|0.1|-1|-1|6|96
